Transaction Date,Transaction Type,Fee Name,Transaction Number,Store,Details,Seller SKU,Lazada SKU,Amount,VAT in Amount,WHT Amount,WHT included in Amount,Statement,Paid Status,Order No.,Order Item No.,Order Item Status,Shipping Provider,Shipping Speed,Shipment Type,Reference,Comment,PaymentRefId,Month & Year,Price Category,Order Number,Shipping Fee Paid by Seller,Payment Fee,Shipping Fee (Paid By Customer),Item Price Credit,Auto. Shipping fee subsidy (by Lazada),Promotional Charges Vouchers,Shipping Fee Voucher (by Lazada),Shipping Fee Subsidy (By Seller),Free Shipping Max Fee,Reversal Item Price,Shipping Fee Refund to Customer,Lazada Bonus,Lazada Bonus - LZD co-fund,Shipping Fee Voucher Refund to Laz,Reversal of Free Shipping Max Fee,Commission,Reversal Commission,Sponsored Product Fee,Sponsored Discovery - Top up,,,,,Actual,Needed,Difference
26-Feb-22,Refunds-Sales,Reversal Item Price,530133571344079,RMJ,Back Door  Stay Assy NISSAN URVAN ESCAPADE (LH & RH)  90440-VH401,2315334967-1630728591296-0,2315334967_PH-10492705251,-1500,5.97,0,No,29 Mar 2021 - 04 Apr 2021,paid,403281661326697,371130659929962,Delivered,QuadX,standard,Dropshipping,482741059303524,,,February 2022, ,370179962911070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Reversal Commission,89.7,,,,,
26-Feb-22,Refunds-Lazada Fees,Reversal Commission,527073227754352,RMJ,Back Door  Stay Assy NISSAN URVAN ESCAPADE (LH & RH)  90440-VH401,2315334967-1630728591296-0,2315334967_PH-10492705251,14.95,5.97,0,No,29 Mar 2021 - 04 Apr 2021,paid,423390973424451,371774210098552,Delivered,QuadX,standard,Dropshipping,420840534454575,,,February 2022, ,369959149613461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
26-Feb-22,Refunds-Marketing Fees,Reversal of Free Shipping Max Fee,482914678404050,RMJ,Back Door  Stay Assy NISSAN URVAN ESCAPADE (LH & RH)  90440-VH401,2315334967-1630728591296-0,2315334967_PH-10492705251,59.98,5.97,0,No,29 Mar 2021 - 04 Apr 2021,paid,454929325160379,442070180733489,Delivered,QuadX,standard,Dropshipping,528428565933518,,,February 2022, ,370771727386851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
26-Feb-22,Refunds-Logistics,Shipping Fee Refund to Customer,540847814998042,RMJ,Back Door  Stay Assy NISSAN URVAN ESCAPADE (LH & RH)  90440-VH401,2315334967-1630728591296-0,2315334967_PH-10492705251,-8.5,8.46,0,No,22 Mar 2021 - 28 Mar 2021,paid,443702203525809,444532582588007,Delivered,LEX PH,standard,Dropshipping,375036732880228,,,February 2022, ,367639198815313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
26-Feb-22,Refunds-Logistics,Shipping Fee Voucher Refund to Laz,535356875902937,RMJ,Back Door  Stay Assy NISSAN URVAN ESCAPADE (LH & RH)  90440-VH401,2315334967-1630728591296-0,2315334967_PH-10492705251,-50,0,0,No,22 Mar 2021 - 28 Mar 2021,paid,363193861987757,409059853760605,Delivered,LEX PH,standard,Dropshipping,503672058547231,,,February 2022, ,367491001753563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
25-Feb-22,Orders-Lazada Fees,Payment Fee,454017967200183,RMJ,SEC YAMAHA GRAVIS OWL BRACKET,2424172025-1634191718296-0,2424172025_PH-11046276804,-42.54,0,0,No,22 Mar 2021 - 28 Mar 2021,paid,404302393430415,411976711535334,Delivered,LEX PH,standard,Dropshipping,420433884601969,,,February 2022, ,368872395637450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
25-Feb-22,Orders-Sales,Item Price Credit,549215204967471,RMJ,SEC YAMAHA GRAVIS OWL BRACKET,2424172025-1634191718296-0,2424172025_PH-11046276804,1899,21.32,0,No,22 Mar 2021 - 28 Mar 2021,paid,452646499968958,392563957862315,Delivered,LEX PH,standard,Dropshipping,363684502347192,,,February 2022,Low - Medium,367488406893746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
25-Feb-22,Orders-Lazada Fees,Commission,485877790798231,RMJ,SEC YAMAHA GRAVIS OWL BRACKET,2424172025-1634191718296-0,2424172025_PH-11046276804,-18.93,1.65,0,No,22 Mar 2021 - 28 Mar 2021,paid,431542248169999,430713995356545,Delivered,LEX PH,standard,Dropshipping,427779456947270,,,February 2022, ,384505763193746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
25-Feb-22,Orders-Marketing Fees,Free Shipping Max Fee,512826260230269,RMJ,SEC YAMAHA GRAVIS OWL BRACKET,2424172025-1634191718296-0,2424172025_PH-11046276804,-60,0,0,No,22 Mar 2021 - 28 Mar 2021,paid,442724890149598,374138601161808,Delivered,LEX PH,standard,Dropshipping,515020445206198,,,February 2022, ,384491784293746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
24-Feb-22,Orders-Lazada Fees,Payment Fee,470634803938124,RMJ,FDR Sports XR Evo 120/70 x 14 MOTORCYCLE TIRE,FDR-EVO-120-x14,1723762938_PH-7435716795,-58.02,5.79,0,No,22 Mar 2021 - 28 Mar 2021,paid,358280972770238,452412818393232,Delivered,LEX PH,standard,Dropshipping,448683835071660,,,February 2022, ,384002976393746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
24-Feb-22,Orders-Sales,Item Price Credit,533939903926595,RMJ,FDR Sports XR Evo 120/70 x 14 MOTORCYCLE TIRE,FDR-EVO-120-x14,1723762938_PH-7435716795,2190,0.67,0,No,22 Mar 2021 - 28 Mar 2021,paid,388190275721166,436682570757967,Delivered,LEX PH,standard,Dropshipping,420494100110653,,,February 2022,Low - Medium,384015769593746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
24-Feb-22,Orders-Lazada Fees,Commission,472198093493994,RMJ,FDR Sports XR Evo 120/70 x 14 MOTORCYCLE TIRE,FDR-EVO-120-x14,1723762938_PH-7435716795,-21.83,0,0,No,22 Mar 2021 - 28 Mar 2021,paid,400554765339916,410425326138094,Delivered,LEX PH,standard,Dropshipping,429135740530850,,,February 2022, ,384031735793746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
24-Feb-22,Orders-Marketing Fees,Free Shipping Max Fee,476547416885976,RMJ,FDR Sports XR Evo 120/70 x 14 MOTORCYCLE TIRE,FDR-EVO-120-x14,1723762938_PH-7435716795,-60,4.45,0,No,22 Mar 2021 - 28 Mar 2021,paid,414025801651418,420431023568327,Delivered,LEX PH,standard,Dropshipping,473491308889661,,,February 2022, ,382436259593746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
24-Feb-22,Orders-Lazada Fees,Commission Discount/Rebate,PH7S34CDK5-AUCKMCM-220223,RMJ,,,,159.8,0.67,0,No,22 Mar 2021 - 28 Mar 2021,paid,463339369205800,436484594005456,Delivered,LEX PH,standard,Dropshipping,385868514702324,,,February 2022, ,384524529393746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
24-Feb-22,Orders-Lazada Fees,Payment Fee,530737074440366,RMJ,PIRELLI DIABLO 120/70x17 MOTORCYCLE TIRES,PZA-PIRELLIDIABLO120/70x17,2491144983_PH-11430943194,-106.52,0,0,No,22 Mar 2021 - 28 Mar 2021,paid,393866685302904,400652590569884,Delivered,LEX PH,standard,Dropshipping,485776300461756,,,February 2022, ,382933659093746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
24-Feb-22,Orders-Sales,Item Price Credit,539551144955436,RMJ,PIRELLI DIABLO 120/70x17 MOTORCYCLE TIRES,PZA-PIRELLIDIABLO120/70x17,2491144983_PH-11430943194,4500,4.45,0,No,22 Mar 2021 - 28 Mar 2021,paid,376356181212405,435899963808892,Delivered,LEX PH,standard,Dropshipping,486499198125871,,,February 2022,Medium,384516535093746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
24-Feb-22,Orders-Lazada Fees,Commission,483349413394540,RMJ,PIRELLI DIABLO 120/70x17 MOTORCYCLE TIRES,PZA-PIRELLIDIABLO120/70x17,2491144983_PH-11430943194,-44.86,10.92,0,No,15 Mar 2021 - 21 Mar 2021,paid,465412519629919,445732401747380,Delivered,LBC,standard,Dropshipping,431333629558818,,,February 2022, ,391329672849378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
24-Feb-22,Orders-Marketing Fees,Free Shipping Max Fee,536912945263527,RMJ,PIRELLI DIABLO 120/70x17 MOTORCYCLE TIRES,PZA-PIRELLIDIABLO120/70x17,2491144983_PH-11430943194,-60,0,0,No,15 Mar 2021 - 21 Mar 2021,paid,455033404443293,436074314835932,Delivered,LBC,standard,Dropshipping,394551776314691,,,February 2022, ,392813986349378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
24-Feb-22,Orders-Lazada Fees,Commission Discount/Rebate,PH7S34CDK5-ZUXDGNA-220223,RMJ,,,,128.7,0,0,No,15 Mar 2021 - 21 Mar 2021,paid,421550427811547,432930018296534,Delivered,LBC,standard,Dropshipping,531686676649379,,,February 2022, ,401721276800915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
23-Feb-22,Orders-Lazada Fees,Payment Fee,532840367886187,RMJ,SEC YAMAHA GRAVIS OWL BRACKET,2424172025-1634191718296-0,2424172025_PH-11046276804,-42.54,30,0,No,15 Mar 2021 - 21 Mar 2021,paid,359445126394318,387554659187732,Delivered,LBC,standard,Dropshipping,475831191653916,,,February 2022, ,402558720267279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
