Transaction Date,Transaction Type,Fee Name,Transaction Number,Store,Details,Seller SKU,Lazada SKU,Amount,VAT in Amount,WHT Amount,WHT included in Amount,Statement,Paid Status,Order No.,Order Item No.,Order Item Status,Shipping Provider,Shipping Speed,Shipment Type,Reference,Comment,PaymentRefId
07-Sep-2022,Orders-Lazada Fees,Commission,555203138753296,PARTS PRO,MAG 1 - Super Concentrated Fuel Injector Cleaner 12 oz.,P01-A1-B009-0002,2873382811_PH-13947978512,181.00,0.00,0.00,No,05 Aug 2022 - 05 Aug 2022,paid,534360504476376,531204310002120,Delivered,LEX PH,standard,Dropshipping,516883623404260,,
07-Sep-2022,Orders-Lazada Fees,Payment Fee,542398060320608,PARTS PRO,MAG 1 - Super Concentrated Fuel Injector Cleaner 12 oz.,P01-A1-B009-0002,2873382811_PH-13947978512,-4.61,0.49,0.00,No,05 Aug 2022 - 05 Aug 2022,paid,516868334566046,532958816638317,Delivered,LEX PH,standard,Dropshipping,510490889166689,,
07-Sep-2022,Orders-Sales,Item Price Credit,476047196222900,PARTS PRO,MAG 1 - Super Concentrated Fuel Injector Cleaner 12 oz.,P01-A1-B009-0002,2873382811_PH-13947978512,181.00,0.00,0.00,No,05 Aug 2022 - 05 Aug 2022,paid,544782280284320,539419487004653,Delivered,LEX PH,standard,Dropshipping,480918990631389,,
07-Sep-2022,Orders-Lazada Fees,Commission,530793573977609,REY MOTOPARTS,Back Door  Stay Assy NISSAN URVAN ESCAPADE (LH & RH)  90440-VH401,2315334967-1630728591296-0,2315334967_PH-10492705251,-74.93,8.03,0.00,No,04 Aug 2022 - 04 Aug 2022,paid,526360830644698,530742675608422,Delivered,J&T Express PH,standard,Dropshipping,384582442536470,commission program:107-49742,
07-Sep-2022,Orders-Lazada Fees,Payment Fee,475016313973062,SEC,DERFOE RADIATOR COOLANT (PINK) 4L,PZA-DERFOERADIATORCOOLANT(PINK)4L,2320775735_PH-10522848371,-40.01,4.29,0.00,No,04 Aug 2022 - 04 Aug 2022,paid,536223746317320,516164209555976,Delivered,LEX PH,standard,Dropshipping,476107933478291,commission program:107-49742,
07-Sep-2022,Orders-Sales,Item Price Credit,459606841758676,SEC,DERFOE RADIATOR COOLANT (PINK) 4L,PZA-DERFOERADIATORCOOLANT(PINK)4L,2320775735_PH-10522848371,-40.01,4.29,0.00,No,04 Aug 2022 - 04 Aug 2022,paid,531679428203711,546286951580569,Delivered,LEX PH,standard,Dropshipping,489132381804114,commission program:107-49742,
07-Sep-2022,Orders-Lazada Fees,Commission,471675490088729,SEC,PRO 99 Motor Flush / Engine Flush 443 ml,P01-A1-B011-0030,2873473246_PH-13947938190,-2.82,0.30,0.00,No,04 Aug 2022 - 04 Aug 2022,paid,541797145984600,520599406791136,Delivered,Ninja Van PH,standard,Dropshipping,505554982003138,,
07-Sep-2022,Orders-Lazada Fees,Payment Fee,473131344582092,FORNIS,PRO 99 Motor Flush / Engine Flush 443 ml,P01-A1-B011-0030,2873473246_PH-13947938190,-4.22,0.45,0.00,No,04 Aug 2022 - 04 Aug 2022,paid,534056170217957,521186330554698,Delivered,Ninja Van PH,standard,Dropshipping,357985866085673,,
07-Sep-2022,Orders-Sales,Item Price Credit,527809375369089,FORNIS,PRO 99 Motor Flush / Engine Flush 443 ml,P01-A1-B011-0030,2873473246_PH-13947938190,141.00,0.00,0.00,No,04 Aug 2022 - 04 Aug 2022,paid,545528874316679,529278483497231,Delivered,Ninja Van PH,standard,Dropshipping,548395838812054,,
07-Sep-2022,Orders-Lazada Fees,Commission,461814893647026,PARTS PRO,PRO 99 Motor Flush / Engine Flush 443 ml,P01-A1-B011-0030,2873473246_PH-13947938190,-2.82,0.30,0.00,No,04 Aug 2022 - 04 Aug 2022,paid,529760327484628,534216183843428,Delivered,Ninja Van PH,standard,Dropshipping,523751020859244,,
07-Sep-2022,Orders-Lazada Fees,Payment Fee,515866113079177,PARTS PRO,PRO 99 Motor Flush / Engine Flush 443 ml,P01-A1-B011-0030,2873473246_PH-13947938190,-4.22,0.45,0.00,No,04 Aug 2022 - 04 Aug 2022,paid,515932692429181,510016210882195,Delivered,Ninja Van PH,standard,Dropshipping,369697032103165,,
07-Sep-2022,Orders-Sales,Item Price Credit,465718342752627,PARTS PRO,PRO 99 Motor Flush / Engine Flush 443 ml,P01-A1-B011-0030,2873473246_PH-13947938190,141.00,0.00,0.00,No,04 Aug 2022 - 04 Aug 2022,paid,515930118587570,521402362560335,Delivered,Ninja Van PH,standard,Dropshipping,469692593465628,,
07-Sep-2022,Orders-Lazada Fees,Commission,532630478495818,REY MOTOPARTS,SEC Border Gloss White Half Face Helmet,3206366435-1657616198127-0,3206366435_PH-16060142114,-97.41,10.44,0.00,No,03 Aug 2022 - 03 Aug 2022,paid,523329906476767,528789224887662,Delivered,LEX PH,standard,Dropshipping,527068213783286,commission program:107-49742,
